index,hospital_name,city,state,hospital_type,beds,rating,nabh,specialties,address,latitude,longitude,disease,treatment,treatment_cost_inr,beds_for_specific_disease,patients_on_disease_beds,patients_treated_well,patients_not_treated_well
473,Sri Ramachandra Hospital,Chennai,Tamil Nadu,Private,800,4.4,Yes,Cardiac Sciences | Neurology | Gastroenterology | Oncology | Transplant,"1, Ramachandra Nagar, Porur, Chennai 600116",13.0995,80.2737,Refractive errors,Corrective lenses/refractive surgery as indicated,10300,47,30,25,5
474,Chettinad Hospital,Chennai,Tamil Nadu,Private,400,4.1,Yes,General Medicine | Surgery | Orthopedics | Cardiac Sciences | Neurology,"Rajiv Gandhi Salai, Kelambakkam, Chennai 603103",13.1006,80.3008,Blindness,Ophthalmic evaluation with corrective/surgical intervention where possible,134900,25,17,16,1
475,Kauvery Hospital Marathahalli,Bengaluru,Karnataka,Private,120,4.3,Yes,Cardiology | Neurology | Orthopedics | Gastroenterology | Critical Care | General Medicine,"23713/3, Old HAL Airport Road, Munnekollal Main Rd, Marathahalli, Bengaluru 560037",12.9337,77.5782,Acne,Topical retinoids/antibiotics with dermatology follow-up,6600,10,6,6,0
476,Institute of Child Health Kolkata,Kolkata,West Bengal,Trust,200,4.2,Yes,Paediatrics | Neonatology | Surgery,"11, Dr Biresh Guha Street, Kolkata 700017",22.5424,88.4075,Eczema,Topical steroids/moisturisers with trigger avoidance,1400,17,13,11,2
477,Bhagwan Mahaveer Cancer Hospital,Jaipur,Rajasthan,Trust,300,4.5,Yes,Oncology | Surgical Oncology | Radiation Oncology | Bone Marrow Transplant,"JLN Marg, Jaipur 302017",26.8693,75.7712,Psoriasis,Topical/systemic therapy with dermatology follow-up,8300,9,5,5,0
478,Charnock Hospital,Kolkata,West Bengal,Private,200,4,Yes,Cardiology | Neurology | Orthopedics | Gastroenterology | Nephrology | Critical Care,"Junction of New Town & Rajarhat Main Road, Teghoria, Kolkata 700157",22.5364,88.3615,Dermatitis,Topical corticosteroids/emollients with trigger avoidance,4100,15,11,10,1
479,Alam Hospital Ranchi,Ranchi,Jharkhand,Private,130,4.2,Yes,Cardiology | Cardiac Surgery | Neurology | Orthopedics | Gynaecology,"Doranda, near Hinoo, Ranchi 834002",23.3082,85.3269,Fungal infections,Topical/oral antifungal therapy with hygiene measures,2100,4,3,3,0
480,Dr Agarwal's Eye Hospital Cathedral Road,Chennai,Tamil Nadu,Private,50,4.4,Yes,Ophthalmology | Cataract | Retina,"19, Cathedral Road, Gopalapuram, Chennai 600086",13.1241,80.3015,Scabies,Topical scabicide with hygiene measures,800,2,2,2,0
481,Alam Hospital Ranchi,Ranchi,Jharkhand,Private,130,4.2,Yes,Cardiology | Cardiac Surgery | Neurology | Orthopedics | Gynaecology,"Doranda, near Hinoo, Ranchi 834002",23.3796,85.3316,Vitiligo,Topical therapy/phototherapy with dermatology follow-up,8700,5,4,3,1
482,MGM Healthcare,Chennai,Tamil Nadu,Private,400,4.3,Yes,Cardiac Sciences | Neurology | Transplant | Oncology | Robotic Surgery,"72, Nelson Manickam Road, Aminjikarai, Chennai 600029",13.0561,80.2761,Urticaria,Antihistamines with allergen avoidance counselling,2800,10,7,6,1
483,IGIMS Patna,Patna,Bihar,Government,1050,4.2,No,Cardiology | Cardiothoracic Surgery | Neurology | Oncology | Endocrinology,"Sheikhpura, Patna 800014",25.5719,85.1607,Skin infections,Topical/oral antibiotics with wound care,2400,81,49,46,3
484,Billroth Hospitals,Chennai,Tamil Nadu,Private,300,4.2,Yes,Cardiac Sciences | Neurology | Orthopedics | Gastroenterology | IVF,"43, Lakshmi Talkies Road, Shenoy Nagar, Chennai 600030",13.1242,80.2476,Anemia,Iron/vitamin supplementation with dietary correction and monitoring,9000,36,22,20,2
485,Silver Oaks Hospital,Chandigarh,Chandigarh,Private,90,4.3,Yes,Orthopedics | Joint Replacement | General Medicine,"Phase 9, Mohali 160062",30.7396,76.7512,Iron-deficiency anemia,Iron supplementation with dietary correction,7600,2,2,2,0
486,NKP Salve Institute of Medical Sciences,Nagpur,Maharashtra,Trust,850,4.2,Yes,General Medicine | Surgery | Cardiac Sciences | Orthopedics | Paediatrics,"Digdoh Hills, Hingna Road, Nagpur 440019",21.134,79.0807,Sickle-cell disease,Pain management and transfusion therapy with monitoring,65800,34,19,18,1
487,Apollo Hospitals Ahmedabad,Ahmedabad,Gujarat,Private,400,4.4,Yes,Cardiac Sciences | Transplant | Oncology | Orthopedics,"Plot No 1A, Bhat GIDC Estate, Gandhinagar 382428",23.0195,72.537,Thalassemia,Regular blood transfusion with iron-chelation therapy,19800,46,28,27,1
488,AIIMS Bhopal,Bhopal,Madhya Pradesh,Government,960,4.5,Yes,Cardiac Sciences | Neurology | Oncology | Orthopedics | Trauma,"Saket Nagar, Bhopal 462020",23.2394,77.438,Hemophilia,Factor-replacement therapy with haematology monitoring,71300,27,23,18,5
489,Shalby Hospital,Ahmedabad,Gujarat,Private,300,4.3,Yes,Joint Replacement | Orthopedics | Spine | Sports Medicine,"Opp Karnavati Club, SG Highway, Ahmedabad 380015",23.03,72.5992,Blood-clotting disorders,Anticoagulant/factor-replacement therapy with haematology monitoring,68400,25,14,11,3
490,Tata Memorial Hospital,Mumbai,Maharashtra,Government,629,4.7,Yes,Oncology | Surgical Oncology | Radiation Oncology,"Dr E Borges Road, Parel, Mumbai 400012",19.0963,72.9053,Depression,Psychotherapy with antidepressant medication as needed,5000,16,11,11,0
491,Cauvery Hospital Mysore,Mysuru,Karnataka,Private,120,4.3,Yes,Cardiac Sciences | Orthopedics | Gynaecology | General Medicine,"M G Road, Mysore 570001",12.2972,76.6118,Anxiety disorders,Counselling/psychotherapy with anxiolytic medication as needed,4100,10,7,7,0
492,Manipal Hospital Whitefield,Bengaluru,Karnataka,Private,284,4.4,Yes,Cardiology | Neurology | Oncology | Orthopedics | Gastroenterology | Nephrology | Transplant,"143, 212-215, EPIP Industrial Area, Off Hoodi Village, KR Puram Hobli, Bengaluru 560066",13.0005,77.6294,Bipolar disorder,Mood-stabilising medication with psychiatric follow-up,26300,16,11,10,1
493,CK Birla Hospital Jaipur,Jaipur,Rajasthan,Private,160,4.4,Yes,Cardiac Sciences | Neurology | Oncology | Gynaecology,"Gopalpura Bypass, Riddhi Siddhi Choraha, Jaipur 302018",26.8776,75.7458,Schizophrenia,Antipsychotic medication with psychiatric follow-up,42300,16,13,11,2
494,SSKM Hospital,Kolkata,West Bengal,Government,2000,4.2,Yes,General Medicine | Surgery | Trauma | Burns | Paediatrics,"244 AJC Bose Road, Bhowanipore, Kolkata 700020",22.5819,88.3627,Obsessive-compulsive disorder (OCD),Psychotherapy with medication management,4300,54,36,28,8
495,Wockhardt Hospital Nagpur,Nagpur,Maharashtra,Private,200,4.4,Yes,Cardiac Sciences | Cardiac Surgery | Neurology | Orthopedics,"Shankar Nagar Square, Nagpur 440010",21.1899,79.0665,PTSD,Psychotherapy with medication management as needed,29700,4,2,2,0
496,Venkateshwar Hospital,Delhi,Delhi,Private,350,4.3,Yes,Cardiac Sciences | Neurology | Joint Replacement | IVF,"Sector 18A, Dwarka, New Delhi 110075",28.5823,77.2475,ADHD,Behavioural therapy with stimulant/non-stimulant medication management,10500,21,19,15,4
497,Indus Super Speciality Hospital,Chandigarh,Chandigarh,Private,200,4.3,Yes,Cardiology | Neurology | Orthopedics | Gastroenterology,"Phase 1, Industrial Area, Mohali 160055",30.7329,76.7526,Eating disorders,Psychotherapy and nutritional rehabilitation with medical monitoring,22800,9,8,7,1
498,Greater Kailash Hospital Indore,Indore,Madhya Pradesh,Private,180,4.2,Yes,Cardiac Sciences | Orthopedics | General Medicine | Gynaecology,"Old Palasia, Indore 452001",22.7313,75.8547,Substance-use disorders,De-addiction programme with counselling and medical support,128400,11,10,9,1
499,IGIMS Patna,Patna,Bihar,Government,1100,4.2,Yes,Cardiac Sciences | Neurology | Oncology | Orthopedics | Transplant,"Sheikhpura, Patna 800014",25.5795,85.1674,Endometriosis,Hormonal therapy with surgical management if indicated,59500,46,32,26,6
500,Global Hospital Chennai,Chennai,Tamil Nadu,Private,350,4.3,Yes,Liver Transplant | Gastroenterology | Hepatology | Kidney Transplant,"439, Cheran Nagar, Perumbakkam, Chennai 600100",13.1245,80.2987,Uterine fibroids,Hormonal therapy with surgical management if indicated,40300,12,8,8,0
501,Terna Specialty Hospital,Navi Mumbai,Maharashtra,Private,240,4.1,Yes,Cardiology | Neurology | Orthopedics | Gastroenterology | Gynaecology,"Sector 12, Phase II, Nerul, Navi Mumbai 400706",19.0317,73.0197,Pregnancy complications,Specialist obstetric monitoring and management,138400,24,20,16,4
502,Patna Medical College Hospital,Patna,Bihar,Government,1750,4,Yes,General Medicine | Surgery | Orthopedics | Paediatrics | Cardiac Sciences | Trauma,"Ashok Rajpath, Patna 800004",25.5922,85.1738,Preeclampsia,Blood-pressure management with close maternal-foetal monitoring,35800,37,29,28,1
503,Ruby General Hospital,Kolkata,West Bengal,Private,350,4.2,Yes,Cardiac Sciences | Neurology | Orthopedics | Oncology | Gastroenterology,"576 Anandapur, EM Bypass, Kolkata 700107",22.6088,88.3913,Ectopic pregnancy,Emergency surgical management with post-operative care,97100,23,14,13,1
504,Artemis Hospital Gurugram,Gurugram,Haryana,Private,550,4.5,Yes,Cardiology | Neurosurgery | Oncology | Renal Transplant | Robotics,"Sector 51, Gurugram 122001",28.4159,77.0277,Testicular cancer,Surgery with chemotherapy as per oncology protocol,261800,22,13,10,3
505,Orchid Medical Centre,Ranchi,Jharkhand,Private,120,4.3,Yes,Cardiology | Orthopedics | Gastroenterology | Gynaecology | IVF,"Behind Marwari College, Lalpur, Ranchi 834001",23.3773,85.3388,Erectile dysfunction,Medical therapy with counselling and lifestyle modification,6100,8,6,5,1
506,Himalayan Hospital Jolly Grant,Dehradun,Uttarakhand,Trust,830,4.3,Yes,Cardiology | Cardiothoracic Surgery | Neurology | Oncology | Trauma,"Swami Ram Nagar, Jolly Grant, Doiwala, Dehradun 248140",30.2831,78.066,Infertility,Fertility evaluation with medical/assisted reproductive treatment,133500,87,55,45,10
507,Excelcare Hospitals,Guwahati,Assam,Private,230,4.2,Yes,Cardiology | Neurology | Oncology | Orthopedics | Gastroenterology,"Boragaon, NH-37, Guwahati 781033",26.1336,91.7793,Testicular disorders,Urological evaluation with medical/surgical management,47500,11,7,7,0
508,Care CHL Hospital Indore,Indore,Madhya Pradesh,Private,200,4.3,Yes,Cardiac Sciences | Orthopedics | Gynaecology | Paediatrics,"AB Road, Indore 452008",22.7186,75.8622,Childhood pneumonia,Antibiotics with oxygen support and paediatric monitoring,11500,23,14,12,2
509,Ayursundra Superspeciality Hospital,Guwahati,Assam,Private,210,4.3,Yes,Cardiology | Cardiothoracic Surgery | Neurology | Orthopedics | Bariatric Surgery,"VIP Road, Six Mile, Guwahati 781022",26.1424,91.723,Diarrheal diseases,Oral rehydration therapy with dietary management,5000,4,3,2,1
510,Apollo Navi Mumbai,Mumbai,Maharashtra,Private,260,4.4,Yes,Cardiac Sciences | Neurology | Oncology | Orthopedics | Transplant,"Plot 13, Sector 23, CBD Belapur, Navi Mumbai 400614",19.0345,72.8708,Malnutrition,Nutritional rehabilitation with dietary supplementation,14000,25,20,16,4
511,Poona Hospital and Research Centre,Pune,Maharashtra,Trust,300,4.3,Yes,Cardiology | Neurology | Oncology | Orthopedics | Gastroenterology | Nephrology | Urology | Critical Care,"27 Sadashiv Peth, Near Alka Talkies, Pune 411030",18.5039,73.8713,Childhood cancers,Paediatric chemotherapy protocol with specialist oncology care,512000,28,25,24,1
512,AMRI Hospital Salt Lake,Kolkata,West Bengal,Private,450,4.4,Yes,Cardiac Sciences | Neurology | Oncology | Orthopedics | Gastroenterology,"JC-16 & 17, Salt Lake City, Sector III, Kolkata 700098",22.5597,88.3272,Burns,Wound debridement and dressing with skin grafting if severe,235700,46,31,29,2
513,SUM Hospital Bhubaneswar,Bhubaneswar,Odisha,Trust,1200,4.2,Yes,Cardiology | Neurology | Oncology | Orthopedics | Critical Care,"Kalinga Nagar, Bhubaneswar 751003",20.3372,85.792,Fractures,Reduction and immobilisation with surgical fixation if needed,87100,27,17,14,3
514,Kauvery Hospital,Chennai,Tamil Nadu,Private,350,4.4,Yes,Cardiac Sciences | Neurology | Gastroenterology | Orthopedics | Oncology,"199, Luz Church Road, Mylapore, Chennai 600004",13.1202,80.2672,Road-traffic injuries,Emergency trauma care with surgical management as required,150600,12,8,8,0
515,Bhailal Amin General Hospital,Vadodara,Gujarat,Trust,300,4.2,Yes,General Medicine | Cardiology | Orthopedics | Neurology | Gynaecology,"Sevasi Sankheda Road, Vadodara 391101",22.3148,73.1905,Poisoning,Emergency decontamination and antidote therapy with monitoring,4400,15,10,8,2
516,Sir Ganga Ram Hospital,Delhi,Delhi,Private,675,4.6,Yes,Gastroenterology | Nephrology | Cardiology | Oncology,"Rajinder Nagar, New Delhi 110060",28.6529,77.2409,Snakebite,Antivenom therapy with intensive monitoring,28400,29,21,18,3
517,Apollo Children's Hospital,Chennai,Tamil Nadu,Private,180,4.6,Yes,Paediatrics | Paediatric Surgery | Neonatology | PICU,"15, Shafee Mohammed Road, Thousand Lights, Chennai 600006",13.1154,80.2368,Animal bites,Wound care with rabies immunoglobulin and vaccination course,3500,13,12,10,2
518,Care Hospitals,Hyderabad,Telangana,Private,435,4.4,Yes,Cardiac Sciences | Neuroscience | Oncology | Orthopedics,"Road No 1, Banjara Hills, Hyderabad 500034",17.3738,78.5044,Heatstroke,Emergency cooling with fluid resuscitation and monitoring,17700,36,20,16,4
519,Apollo Hospital Indore,Indore,Madhya Pradesh,Private,340,4.4,Yes,Cardiac Sciences | Neurology | Oncology | Orthopedics,"Scheme No 74C, Sector D, Vijay Nagar, Indore 452010",22.6851,75.8772,Dehydration,Oral/IV fluid and electrolyte replacement,1200,21,15,12,3
520,L.B.S. Hospital Bhopal,Bhopal,Madhya Pradesh,Private,200,4.2,Yes,Cardiac Sciences | Orthopedics | General Medicine | Gynaecology,"Habibganj, Bhopal 462024",23.2695,77.3904,Sepsis,Emergency IV antibiotics with intensive-care monitoring,247800,18,15,14,1
521,Genesis Hospital Kolkata,Kolkata,West Bengal,Private,90,4,Yes,Cardiology | Orthopedics | Gastroenterology | General Medicine | Critical Care,"68, Canal Circular Road, Kankurgachi, Kolkata 700054",22.5567,88.3886,Allergic reactions,Antihistamines and corticosteroids with allergen avoidance counselling,3200,10,6,6,0
522,AJ Hospital Mangalore,Mangaluru,Karnataka,Trust,725,4.4,Yes,Cardiology | Cardiac Surgery | Oncology | Neurology | Renal Sciences,"Kuntikan, NH-66, Mangalore 575004",12.87,74.812,Dengue,Supportive care with fluid management and platelet monitoring,22700,42,28,24,4
523,Sahyadri Super Speciality Hospital Nagar Road,Pune,Maharashtra,Private,130,4.3,Yes,Cardiology | Neurology | Orthopedics | Oncology | Critical Care,"Society Phase 1, Nagar Rd, Near Hermes Heritage, Shastrinagar, Yerawada, Pune 411006",18.5637,73.8815,Malaria,Antimalarial medication with supportive care and monitoring,5600,5,4,4,0
524,MIOT International,Chennai,Tamil Nadu,Private,600,4.5,Yes,Orthopedics | Joint Replacement | Spine | Sports Medicine | Cardiac Sciences,"4/112, Mount Poonamallee Road, Manapakkam, Chennai 600089",13.1249,80.2505,Tuberculosis (TB),Multi-drug anti-tubercular therapy with monitoring,31800,68,58,52,6
525,Rainbow Children's Hospital Marathahalli,Bengaluru,Karnataka,Private,200,4.4,Yes,Paediatrics | Neonatology | Gynaecology | Maternity | IVF,"Survey No 8/5, KR Puram, Dr Puneeth Rajkumar Rd, Doddanekundi, Marathahalli, Bengaluru 560037",12.9749,77.6066,Typhoid,Antibiotic therapy with supportive care and hydration,22200,7,5,4,1
526,Virinchi Hospitals,Hyderabad,Telangana,Private,350,4.2,Yes,Cardiac Sciences | Neurosciences | Oncology | Orthopedics | Liver Transplant | Robotic Surgery,"6-3-726/B, Beside Apollo Hospital, Banjara Hills Road No 1, Hyderabad 500034",17.3956,78.457,Cholera,Oral/IV rehydration therapy with antibiotics as indicated,25100,15,10,8,2
527,Alam Hospital Ranchi,Ranchi,Jharkhand,Private,130,4.2,Yes,Cardiology | Cardiac Surgery | Neurology | Orthopedics | Gynaecology,"Doranda, near Hinoo, Ranchi 834002",23.3593,85.3434,Chikungunya,Supportive care with analgesics and hydration,17400,11,8,7,1
528,Narayana Multispeciality Hospital Jaipur,Jaipur,Rajasthan,Private,200,4.4,Yes,Cardiac Sciences | Neurology | Oncology | Orthopedics,"Sector 28, Pratap Nagar, Tonk Road, Jaipur 302033",26.9508,75.7543,Japanese Encephalitis,Supportive neuro-critical care with intensive monitoring,194900,11,8,6,2
529,NKP Salve Institute of Medical Sciences,Nagpur,Maharashtra,Private,850,4.3,Yes,Cardiology | Neurosurgery | Oncology | Nephrology | Orthopedics,"Hanuman Nagar, Digdoh Hills, Nagpur 440019",21.1429,79.0907,Hepatitis A,Supportive care with rest and dietary management,13900,37,26,21,5
530,Queen's NRI Hospital,Visakhapatnam,Andhra Pradesh,Private,150,4.3,Yes,Cardiac Sciences | Orthopedics | Gynaecology | General Medicine,"Seethamadhara, Visakhapatnam 530013",17.6943,83.2015,Hepatitis B,Antiviral therapy with regular liver-function monitoring,96900,15,9,8,1
531,Bhagwan Mahaveer Cancer Hospital,Jaipur,Rajasthan,Trust,300,4.5,Yes,Oncology | Surgical Oncology | Radiation Oncology | Bone Marrow Transplant,"JLN Marg, Jaipur 302017",26.8878,75.7804,Hepatitis C,Direct-acting antiviral therapy with liver-function monitoring,72400,27,20,19,1
532,AIIMS Raipur,Raipur,Chhattisgarh,Government,960,4.4,No,Cardiac Sciences | Neurology | Oncology | Nephrology | Trauma,"Tatibandh, GE Road, Raipur 492099",21.2282,81.6325,Hepatitis E,Supportive care with rest and hydration,5400,108,82,72,10
533,Shri Balaji Institute of Medical Science,Raipur,Chhattisgarh,Trust,200,4.1,Yes,Cardiology | Neurology | Orthopedics | Gynaecology | Paediatrics,"Mowa, Raipur 492001",21.2534,81.6493,HIV/AIDS,Antiretroviral therapy with regular immunological monitoring,13100,8,7,6,1
534,Sanjeevan Hospital Pune,Pune,Maharashtra,Private,100,4.3,Yes,Orthopedics | Joint Replacement | Cardiology | General Medicine | Surgery | Gynaecology,"FP 23, off Karve Road, Kashibai Khilare Path, Opposite Pune Central, Erandwane, Pune 411004",18.496,73.873,COVID-19,Supportive care with antivirals/oxygen therapy as required,64200,5,4,3,1
535,GEM Hospital,Coimbatore,Tamil Nadu,Private,200,4.5,Yes,Gastroenterology | Bariatric Surgery | Liver Transplant,"45/A, Pankaja Mill Road, Ramanathapuram, Coimbatore 641045",10.9745,76.9196,Influenza,Antiviral and supportive care with rest and hydration,2800,9,8,7,1
536,Charnock Hospital,Kolkata,West Bengal,Private,200,4,Yes,Cardiology | Neurology | Orthopedics | Gastroenterology | Nephrology | Critical Care,"Junction of New Town & Rajarhat Main Road, Teghoria, Kolkata 700157",22.5608,88.3877,Pneumonia,Antibiotic therapy with oxygen support and monitoring,6600,20,18,15,3
537,Regency Hospital Lucknow,Lucknow,Uttar Pradesh,Private,200,4.3,Yes,Cardiac Sciences | Orthopedics | Gynaecology | Critical Care,"Tedhi Pulia, Sitapur Road, Lucknow 226020",26.8692,80.9463,Rabies,Post-exposure prophylaxis with wound care and vaccination,19500,11,7,6,1
538,Sahyadri Super Speciality Hospital Hadapsar,Pune,Maharashtra,Private,150,4.3,Yes,Cardiology | Neurology | Orthopedics | Oncology | Gastroenterology | Critical Care,"S No 163, Bhosale Nagar, Hadapsar, Pune 411028",18.5003,73.897,Measles,Supportive care with vitamin A supplementation,4600,17,16,13,3
539,PGIMER Chandigarh,Chandigarh,Chandigarh,Government,1948,4.7,Yes,Cardiology | Neurology | Oncology | Transplant | Trauma,"Sector 12, Chandigarh 160012",30.7659,76.7384,Mumps,Supportive care with symptomatic management,1200,65,58,49,9
540,Apollo Hospital Vadodara,Vadodara,Gujarat,Private,200,4.4,Yes,Cardiac Sciences | Neurology | Oncology | Orthopedics,"Vasna-Bhayli Road, Vadodara 391410",22.3254,73.2081,Chickenpox,Antiviral and supportive care with symptomatic management,7400,19,17,15,2
541,Artemis Hospital Gurugram,Gurugram,Haryana,Private,550,4.5,Yes,Cardiology | Neurosurgery | Oncology | Renal Transplant | Robotics,"Sector 51, Gurugram 122001",28.4733,77.014,Viral fever,Supportive care with antipyretics and hydration,3000,63,46,44,2
542,Global Hospital Chennai,Chennai,Tamil Nadu,Private,350,4.3,Yes,Liver Transplant | Gastroenterology | Hepatology | Kidney Transplant,"439, Cheran Nagar, Perumbakkam, Chennai 600100",13.118,80.2688,Leptospirosis,Antibiotic therapy with supportive care and monitoring,47200,12,7,7,0
543,VPS Lakeshore Hospital,Kochi,Kerala,Private,330,4.5,Yes,Cardiac Sciences | Neurology | Oncology | Gynaecology,"Maradu, NH Bypass, Kochi 682304",9.8928,76.2401,Scrub typhus,Antibiotic therapy with supportive care and monitoring,18300,34,22,19,3
544,Kavery Medical Centre,Tiruchirappalli,Tamil Nadu,Private,200,4.3,Yes,Cardiology | Cardiothoracic Surgery | Nephrology | Renal Transplant | Gastroenterology,"4/440 Alexandria Road, Cantonment, Trichy 620001",10.7616,78.6615,Amoebiasis,Antiparasitic medication with hydration and dietary support,11300,13,11,10,1
545,National Institute of Ophthalmology Pune,Pune,Maharashtra,Private,50,4.5,Yes,Ophthalmology | Cataract | Retina,"1187/30, Off Ghole Road, Near Mahatma Phule Museum, Shivaji Nagar, Pune 411005",18.5572,73.8126,Giardiasis,Antiparasitic medication with supportive care,7800,3,2,2,0
546,GEM Hospital,Coimbatore,Tamil Nadu,Private,200,4.5,Yes,Gastroenterology | Bariatric Surgery | Liver Transplant,"45/A, Pankaja Mill Road, Ramanathapuram, Coimbatore 641045",11.0534,76.9396,Food poisoning,Supportive care with rehydration and antibiotics if indicated,5200,13,10,9,1
547,Institute of Child Health Kolkata,Kolkata,West Bengal,Trust,200,4.2,Yes,Paediatrics | Neonatology | Surgery,"11, Dr Biresh Guha Street, Kolkata 700017",22.5346,88.4024,Cardiac arrhythmia,Antiarrhythmic medication with pacemaker/ablation if indicated,55700,11,8,7,1
548,Apollo Greams Road,Chennai,Tamil Nadu,Private,710,4.6,Yes,Cardiology | Oncology | Transplant | Orthopedics | Neurology,"21 Greams Lane, Off Greams Road, Chennai 600006",13.1074,80.2771,Coronary artery disease,Medication with angioplasty/bypass surgery as indicated,119200,50,41,39,2
549,MGM New Bombay Hospital,Navi Mumbai,Maharashtra,Trust,400,4.1,Yes,Cardiology | Neurosciences | Oncology | Orthopedics | Nephrology | Paediatrics,"Plot No 35, Sector 3, Vashi, Navi Mumbai 400703",18.9894,73.0638,Heart attack (Myocardial infarction),Emergency angioplasty/thrombolysis with cardiac rehabilitation,247700,16,15,14,1
550,LHMC & Sucheta Kriplani,Delhi,Delhi,Government,800,4.2,Yes,Gynaecology | Paediatrics | General Medicine,"Bangla Sahib Marg, Connaught Place, New Delhi 110001",28.5811,77.1838,Heart failure,Medication management with lifestyle modification and monitoring,11800,22,19,16,3
551,Andhra Medical College / King George Hospital,Visakhapatnam,Andhra Pradesh,Government,1100,4.1,Yes,General Medicine | Surgery | Orthopedics | Paediatrics | Cardiac Sciences,"Maharani Peta, Visakhapatnam 530002",17.6517,83.1882,Hypertension,Antihypertensive medication and monitoring,8100,57,38,36,2
552,Fortis Bannerghatta,Bengaluru,Karnataka,Private,400,4.3,Yes,Cardiac Sciences | Neurology | Oncology | Orthopedics | Transplant,"154/9, Bannerghatta Road, Opp IIM, Bangalore 560076",12.9531,77.5949,Cardiomyopathy,Heart-failure medication with lifestyle management and monitoring,186100,26,22,17,5
553,Rajeshwar Hospital Patna,Patna,Bihar,Private,120,4.2,Yes,Cardiac Sciences | Orthopedics | Gynaecology | General Medicine,"Boring Road, Patna 800001",25.584,85.1664,Valvular heart disease,Medication with valve repair/replacement surgery if indicated,271800,7,6,5,1
554,K R Hospital Mysore,Mysuru,Karnataka,Government,850,4,Yes,General Medicine | Surgery | Orthopedics | Paediatrics | Trauma,"Sayyaji Rao Road, Mysore 570001",12.3328,76.6159,Congenital heart disease,Corrective cardiac surgery with paediatric cardiology follow-up,181100,47,33,28,5
555,Lok Nayak Hospital,Delhi,Delhi,Government,2000,4,Yes,General Medicine | Surgery | Burns | Trauma,"Jawaharlal Nehru Marg, New Delhi 110002",28.6082,77.2044,Rheumatic heart disease,Antibiotic prophylaxis with valve management/surgery if indicated,114800,155,144,129,15
556,Mediversal Multi Super Speciality Hospital,Patna,Bihar,Private,200,4.4,Yes,Cardiac Sciences | Neurology | Oncology | Orthopedics,"Bypass Road, Patna 800027",25.5602,85.1254,Peripheral artery disease,Medication with angioplasty/bypass if indicated,91100,21,13,12,1
557,Zydus Hospital,Ahmedabad,Gujarat,Private,550,4.4,Yes,Cardiac Sciences | Neuroscience | Oncology | Transplant | Robotic Surgery,"Nr Sola Bridge, SG Highway, Thaltej, Ahmedabad 380054",23.002,72.5528,Deep vein thrombosis,Anticoagulant therapy with compression and monitoring,39500,47,30,26,4
558,UN Mehta Institute of Cardiology,Ahmedabad,Gujarat,Government,450,4.5,Yes,Cardiac Surgery | Cardiology | Paediatric Cardiac | Heart Transplant,"Civil Hospital Campus, Asarwa, Ahmedabad 380016",22.9781,72.5971,Pulmonary embolism,Emergency anticoagulation with intensive monitoring,22600,37,33,27,6
559,Manipal Hospital Old Airport Rd,Bengaluru,Karnataka,Private,650,4.4,Yes,Transplant | Oncology | Cardiology | Neurology | Gastroenterology,"98, HAL Old Airport Road, Kodihalli, Bangalore 560017",12.9291,77.6084,Type 1 diabetes,Insulin therapy with dietary management and monitoring,11900,66,56,47,9
560,SAL Hospital,Ahmedabad,Gujarat,Private,200,4.2,Yes,General Medicine | Surgery | Orthopedics | Gynaecology,"Opp Doordarshan Tower, Drive-in Road, Thaltej, Ahmedabad 380054",23.0163,72.5848,Type 2 diabetes,Medication and lifestyle management,29300,20,17,16,1
561,AMRI Hospital Salt Lake,Kolkata,West Bengal,Private,450,4.4,Yes,Cardiac Sciences | Neurology | Oncology | Orthopedics | Gastroenterology,"JC-16 & 17, Salt Lake City, Sector III, Kolkata 700098",22.5737,88.3597,Gestational diabetes,Dietary management with insulin therapy and monitoring,37400,53,45,42,3
562,Kiran Multi Super Speciality Hospital,Surat,Gujarat,Trust,800,4.4,Yes,Cardiology | Cardiac Surgery | Oncology | Neurosciences | Transplant,"Sumul Dairy Road, Katargam, Surat 395004",21.1477,72.8575,Prediabetes,Lifestyle modification with periodic blood-sugar monitoring,5100,33,29,28,1
563,Cloudnine Hospital Jayanagar,Bengaluru,Karnataka,Private,100,4.5,Yes,Maternity | Gynaecology | Neonatology | Paediatrics | IVF,"#1533, 9th Main, 3rd Block, Jayanagar, Bengaluru 560011",12.9608,77.63,Diabetic foot,Wound care and debridement with vascular/infection management,17400,10,8,7,1
564,AMRI Hospital Bhubaneswar,Bhubaneswar,Odisha,Private,175,4.3,Yes,Cardiology | Cardiac Surgery | Neurology | Orthopedics | Gastroenterology,"Plot 1, Beside Satyasai Enclave, Khandagiri, Bhubaneswar 751030",20.2604,85.7884,Diabetic retinopathy,Laser photocoagulation/anti-VEGF injections with monitoring,33200,10,7,7,0
565,Medanta Lucknow,Lucknow,Uttar Pradesh,Private,450,4.6,Yes,Cardiac Sciences | Neurology | Oncology | Liver Transplant | Robotic Surgery,"Sector A, Pocket 1, Sushant Golf City, Lucknow 226030",26.861,80.9579,Diabetic kidney disease,Blood-sugar and blood-pressure control with renal monitoring,110600,29,21,19,2
